frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.217,336.626,320.0,0.15,0.05,0.001
1,-0.225,337.553,320.0,0.153,0.05,0.488
2,-0.24,338.206,320.0,0.285,0.05,1.208
3,-0.228,335.377,320.0,0.135,0.05,2.061
4,-0.159,328.217,320.0,-0.015,0.05,2.976
5,0.0,324.472,320.0,-0.165,0.05,3.617
6,0.0,325.134,320.0,-0.015,0.05,4.166
7,-0.133,331.176,320.0,0.135,0.05,4.707
8,-0.141,330.237,320.0,0.159,0.05,5.252
9,0.0,319.401,320.0,0.009,0.05,5.81
10,0.103,307.252,320.0,-0.141,0.05,6.133
11,0.184,304.248,320.0,-0.291,0.05,6.355
12,0.113,314.882,320.0,-0.141,0.05,6.192
13,-0.113,336.39,320.0,0.009,0.05,6.4
14,-0.301,348.258,320.0,0.159,0.05,6.846
15,-0.39,351.726,320.0,0.309,0.05,7.256
16,-0.299,338.507,320.0,0.159,0.05,7.763
17,0.0,315.179,320.0,0.009,0.05,8.014
18,0.172,297.546,320.0,-0.141,0.05,8.033
19,0.269,295.682,320.0,-0.291,0.05,7.991
20,0.181,309.919,320.0,-0.141,0.05,7.659
21,-0.2,350.255,320.0,0.009,0.05,7.463
22,-0.48,366.562,320.0,0.159,0.05,7.851
23,-0.569,365.782,320.0,0.309,0.05,8.208
24,-0.461,349.608,320.0,0.159,0.05,8.631
25,-0.156,319.375,320.0,0.009,0.05,9.0
26,0.12,300.214,320.0,-0.141,0.05,8.978
27,0.242,297.485,320.0,-0.291,0.05,8.796
28,0.164,311.031,320.0,-0.141,0.05,8.355
29,-0.134,341.841,320.0,0.009,0.05,8.159
30,-0.404,360.988,320.0,0.159,0.05,8.446
31,-0.48,358.437,320.0,0.309,0.05,8.78
32,-0.349,340.596,320.0,0.159,0.05,9.416
33,0.0,307.542,320.0,0.009,0.05,9.647
34,0.314,283.321,320.0,-0.141,0.05,9.51
35,0.45,281.361,320.0,-0.291,0.05,9.33
36,0.376,295.163,320.0,-0.141,0.05,8.855
37,0.0,327.739,320.0,0.009,0.05,8.663
38,-0.182,343.328,320.0,0.159,0.05,8.91
39,-0.264,342.752,320.0,0.309,0.05,9.253
40,-0.122,323.383,320.0,0.159,0.05,9.706
41,0.438,264.885,320.0,0.009,0.05,10.326
42,0.641,239.53,320.0,-0.141,0.05,10.148
43,0.712,232.316,320.0,-0.291,0.05,9.955
44,0.737,248.635,320.0,-0.441,0.05,9.488
45,0.568,285.069,320.0,-0.291,0.05,8.629
46,0.0,335.537,320.0,-0.141,0.05,8.115
47,-0.115,335.537,320.0,0.009,0.05,8.067
48,-0.177,335.537,320.0,0.159,0.05,8.277
49,-0.199,335.537,320.0,0.309,0.05,8.632
50,-0.207,335.537,320.0,0.159,0.05,9.29
51,-0.103,323.454,320.0,0.009,0.05,9.89
52,0.125,301.935,320.0,-0.141,0.05,9.764
53,0.198,302.687,320.0,-0.291,0.05,9.475
54,0.0,319.716,320.0,-0.141,0.05,8.959
55,-0.248,350.9,320.0,0.009,0.05,8.65
56,-0.36,350.9,320.0,0.159,0.05,8.92
57,-0.399,350.9,320.0,0.309,0.05,9.182
58,-0.456,355.775,320.0,0.459,0.05,9.743
59,-0.125,316.025,320.0,0.309,0.05,10.438
60,0.444,258.951,320.0,0.159,0.05,10.933
61,0.643,186.377,320.0,0.009,0.05,11.207
62,0.712,155.954,320.0,-0.141,0.05,11.052
63,0.737,148.352,320.0,-0.291,0.05,10.915
64,0.745,157.48,320.0,-0.241,0.05,10.476
65,0.748,181.396,320.0,-0.153,0.05,10.06
66,0.749,209.385,320.0,-0.122,0.05,9.874
67,0.75,228.719,320.0,-0.111,0.05,9.743
68,0.75,244.348,320.0,-0.107,0.05,9.631
69,0.75,260.335,320.0,-0.106,0.05,9.375
70,0.653,276.707,320.0,0.044,0.05,9.252
71,0.427,297.741,320.0,0.194,0.05,9.345
72,0.394,292.453,320.0,0.344,0.05,9.765
73,0.597,268.008,320.0,0.194,0.05,10.185
74,0.696,227.131,320.0,0.044,0.05,10.627
75,0.731,198.903,320.0,-0.106,0.05,10.49
76,0.743,198.903,320.0,-0.256,0.05,10.308
77,0.748,198.903,320.0,-0.173,0.05,9.803
78,0.749,226.53,320.0,-0.129,0.05,9.544
79,0.75,251.517,320.0,-0.113,0.05,9.309
80,0.723,268.353,320.0,0.037,0.05,9.17
81,0.505,291.489,320.0,0.187,0.05,9.315
82,0.475,286.195,320.0,0.337,0.05,9.694
83,0.654,262.849,320.0,0.187,0.05,10.128
84,0.716,225.086,320.0,0.037,0.05,10.549
85,0.738,197.233,320.0,-0.113,0.05,10.412
86,0.746,191.369,320.0,-0.227,0.05,10.203
87,0.749,200.588,320.0,-0.148,0.05,9.813
88,0.749,225.555,320.0,-0.12,0.05,9.48
89,0.75,246.904,320.0,-0.11,0.05,9.326
90,0.745,266.261,320.0,-0.027,0.05,9.211
91,0.57,285.395,320.0,0.123,0.05,9.124
92,0.461,290.628,320.0,0.273,0.05,9.432
93,0.553,274.996,320.0,0.123,0.05,9.932
94,0.681,246.084,320.0,-0.027,0.05,10.136
95,0.726,232.92,320.0,-0.177,0.05,9.911
96,0.742,236.22,320.0,-0.327,0.05,9.597
97,0.747,257.831,320.0,-0.192,0.05,9.017
98,0.492,293.993,320.0,-0.042,0.05,8.638
99,0.602,238.483,320.0,-0.192,0.05,8.652
100,0.211,0.0,0.0,-0.042,0.05,8.422
101,0.504,238.483,320.0,-0.192,0.05,8.135
102,0.176,0.0,0.0,-0.042,0.05,7.923
103,0.492,238.483,320.0,-0.192,0.05,7.867
104,0.172,0.0,0.0,-0.042,0.05,7.581
105,0.49,238.483,320.0,-0.192,0.05,7.51
106,0.172,0.0,0.0,-0.042,0.05,7.14
107,0.49,238.483,320.0,-0.192,0.05,7.124
108,0.172,320.0,320.0,-0.042,0.05,6.733
109,0.0,320.0,320.0,0.108,0.05,6.732
110,0.0,320.0,320.0,0.0,0.05,7.071
