frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.22,336.852,320.0,0.15,0.05,0.003
1,-0.226,337.815,320.0,0.146,0.05,0.542
2,-0.238,338.657,320.0,0.296,0.05,1.244
3,-0.224,333.971,320.0,0.146,0.05,2.194
4,-0.176,327.104,320.0,-0.004,0.05,3.095
5,-0.113,321.224,320.0,-0.154,0.05,3.709
6,-0.086,323.154,320.0,-0.304,0.05,4.298
7,-0.113,330.714,320.0,-0.154,0.05,4.532
8,-0.217,346.088,320.0,-0.004,0.05,4.872
9,-0.342,356.756,320.0,0.146,0.05,5.436
10,-0.405,354.567,320.0,0.296,0.05,5.889
11,-0.349,338.441,320.0,0.146,0.05,6.609
12,-0.174,313.858,320.0,-0.004,0.05,6.954
13,0.003,301.386,320.0,-0.154,0.05,6.996
14,0.109,301.216,320.0,-0.304,0.05,7.14
15,0.095,314.733,320.0,-0.154,0.05,6.788
16,-0.059,341.296,320.0,-0.004,0.05,6.89
17,-0.235,357.267,320.0,0.146,0.05,7.318
18,-0.343,357.844,320.0,0.296,0.05,7.584
19,-0.319,341.563,320.0,0.146,0.05,8.146
20,-0.174,316.702,320.0,-0.004,0.05,8.44
21,0.065,288.279,320.0,-0.154,0.05,8.494
22,0.219,286.705,320.0,-0.304,0.05,8.428
23,0.243,299.377,320.0,-0.454,0.05,8.07
24,0.086,330.967,320.0,-0.304,0.05,7.505
25,-0.008,330.967,320.0,-0.154,0.05,6.977
26,-0.064,330.967,320.0,-0.004,0.05,6.996
27,-0.098,330.967,320.0,0.146,0.05,7.312
28,-0.118,330.967,320.0,0.296,0.05,7.727
29,-0.131,330.967,320.0,0.286,0.05,8.314
30,-0.138,330.967,320.0,0.18,0.05,8.88
31,-0.275,356.339,320.0,0.33,0.05,9.306
32,-0.201,326.636,320.0,0.18,0.05,9.7
33,0.057,286.711,320.0,0.03,0.05,9.985
34,0.334,259.699,320.0,-0.12,0.05,9.97
35,0.501,252.148,320.0,-0.27,0.05,9.816
36,0.6,261.147,320.0,-0.42,0.05,9.449
37,0.514,291.324,320.0,-0.27,0.05,8.761
38,0.227,335.146,320.0,-0.12,0.05,8.274
39,0.055,335.146,320.0,0.03,0.05,8.278
40,-0.048,335.146,320.0,0.18,0.05,8.65
41,-0.11,335.146,320.0,0.33,0.05,8.962
42,-0.3,363.267,320.0,0.48,0.05,9.55
43,-0.192,322.153,320.0,0.33,0.05,10.247
44,0.185,262.534,320.0,0.18,0.05,10.732
45,0.411,209.944,320.0,0.03,0.05,10.856
46,0.547,177.457,320.0,-0.12,0.05,10.825
47,0.628,166.527,320.0,-0.27,0.05,10.639
48,0.677,173.543,320.0,-0.42,0.05,10.282
49,0.706,200.797,320.0,-0.57,0.05,9.616
50,0.724,251.996,320.0,-0.488,0.05,8.576
51,0.734,251.996,320.0,-0.338,0.05,6.847
52,0.741,251.996,320.0,-0.243,0.05,6.386
53,0.744,251.996,320.0,-0.188,0.05,6.142
