frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.225,337.209,320.0,0.15,0.05,0.002
1,-0.227,337.971,320.0,0.078,0.05,0.535
2,-0.228,336.886,320.0,0.058,0.05,1.251
3,-0.228,335.443,320.0,0.017,0.05,2.126
4,-0.226,334.985,320.0,-0.003,0.05,2.945
5,-0.224,334.98,320.0,-0.008,0.05,3.6
6,-0.224,335.375,320.0,0.021,0.05,4.319
7,-0.227,336.696,320.0,0.09,0.05,4.857
8,-0.215,331.76,320.0,-0.06,0.05,5.345
9,-0.191,326.586,320.0,-0.21,0.05,5.613
10,-0.183,330.527,320.0,-0.147,0.05,5.703
11,-0.226,347.737,320.0,0.003,0.05,5.882
12,-0.294,359.334,320.0,0.153,0.05,6.231
13,-0.348,358.877,320.0,0.303,0.05,6.782
14,-0.355,347.025,320.0,0.21,0.05,7.193
15,-0.3,325.869,320.0,0.06,0.05,7.678
16,-0.202,305.736,320.0,-0.09,0.05,7.754
17,-0.111,301.234,320.0,-0.24,0.05,7.775
18,-0.059,308.942,320.0,-0.39,0.05,7.61
19,-0.077,331.478,320.0,-0.24,0.05,7.253
20,-0.191,369.529,320.0,-0.09,0.05,7.054
21,-0.283,369.529,320.0,0.06,0.05,7.162
22,-0.356,369.529,320.0,0.21,0.05,7.458
23,-0.414,369.529,320.0,0.36,0.05,7.939
24,-0.461,369.529,320.0,0.51,0.05,8.545
25,-0.446,348.678,320.0,0.36,0.05,9.246
26,-0.283,292.433,320.0,0.21,0.05,9.725
27,-0.077,242.656,320.0,0.06,0.05,9.869
28,0.089,207.91,320.0,-0.09,0.05,9.791
29,0.221,201.242,320.0,-0.24,0.05,9.722
30,0.327,207.858,320.0,-0.39,0.05,9.734
31,0.411,221.195,320.0,-0.54,0.05,9.163
32,0.479,256.745,320.0,-0.69,0.05,9.259
33,0.496,278.259,320.0,-0.54,0.05,7.816
34,0.32,349.146,320.0,-0.39,0.05,7.808
35,0.18,349.146,320.0,-0.24,0.05,6.954
36,0.067,349.146,320.0,-0.09,0.05,6.615
37,-0.023,349.146,320.0,0.06,0.05,7.484
38,-0.095,349.146,320.0,0.21,0.05,7.434
39,-0.153,349.146,320.0,0.36,0.05,7.396
40,-0.199,349.146,320.0,0.51,0.05,7.988
41,-0.236,349.146,320.0,0.66,0.05,9.356
42,-0.218,331.125,320.0,0.51,0.05,10.184
43,-0.024,253.471,320.0,0.36,0.05,10.709
44,0.131,173.197,320.0,0.21,0.05,10.989
45,0.254,173.197,320.0,0.06,0.05,11.212
46,0.354,173.197,320.0,-0.09,0.05,11.272
47,0.433,173.197,320.0,-0.24,0.05,11.212
48,0.496,173.197,320.0,-0.39,0.05,10.974
49,0.547,173.197,320.0,-0.54,0.05,10.508
50,0.588,173.197,320.0,-0.69,0.05,9.759
51,0.62,203.559,320.0,-0.801,0.05,7.998
52,0.562,295.996,320.0,-0.651,0.05,6.277
53,0.516,295.996,320.0,-0.501,0.05,4.868
54,0.478,295.996,320.0,-0.351,0.05,4.109
55,0.449,295.996,320.0,-0.201,0.05,3.601
56,0.425,295.996,320.0,-0.051,0.05,3.494
57,0.406,295.996,320.0,0.099,0.05,3.719
58,0.391,295.996,320.0,0.249,0.05,4.155
59,0.378,295.996,320.0,0.215,0.05,4.805
60,0.369,295.996,320.0,0.163,0.05,5.361
61,0.295,320.0,320.0,0.313,0.05,5.82
62,0.236,0.0,0.0,0.463,0.05,6.427
63,0.189,320.0,320.0,0.613,0.05,7.361
64,0.151,0.0,0.0,0.763,0.05,8.491
65,0.121,320.0,320.0,0.648,0.05,9.704
66,0.097,0.0,0.0,0.518,0.05,10.433
67,0.077,320.0,320.0,0.414,0.05,10.983
