frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.062,306.315,240.0,0.15,0.05,0.004
1,-0.175,306.816,240.004,0.162,0.05,0.48
2,-0.095,306.165,239.908,0.012,0.05,1.2
3,-0.036,304.222,239.859,-0.138,0.05,1.969
4,-0.017,304.476,239.832,-0.091,0.05,2.801
5,-0.034,307.128,240.0,0.059,0.05,3.472
6,-0.196,310.27,240.031,0.209,0.05,4.61
7,-0.122,308.784,240.052,0.059,0.05,5.252
8,-0.035,304.227,240.058,-0.091,0.05,5.633
9,0.018,302.52,240.042,-0.241,0.05,5.828
10,0.013,303.223,240.0,-0.091,0.05,5.826
11,-0.27,315.185,240.002,0.059,0.05,6.085
12,-0.293,318.55,239.975,0.081,0.05,6.532
13,-0.292,317.938,239.985,-0.002,0.05,6.938
14,-0.276,316.785,239.994,-0.05,0.05,7.023
15,-0.387,332.63,240.0,0.1,0.05,7.071
16,-0.498,337.33,240.039,0.25,0.05,7.414
17,-0.438,333.651,240.067,0.1,0.05,7.837
18,-0.338,327.134,240.082,-0.05,0.05,8.121
19,-0.258,323.404,240.098,-0.015,0.05,8.06
20,-0.178,314.549,240.0,-0.165,0.05,8.106
21,-0.273,315.871,239.971,-0.015,0.05,8.069
22,-0.265,319.666,239.939,-0.003,0.05,8.167
23,-0.279,321.057,239.905,0.022,0.05,8.342
24,-0.282,320.855,239.884,0.01,0.05,8.459
