frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,0.278,304.568,320.0,-0.15,0.05,0.003
1,0.287,303.963,320.0,-0.04,0.05,0.484
2,0.265,306.729,320.0,0.087,0.05,1.132
3,0.274,306.107,320.0,-0.04,0.05,1.971
4,0.292,305.29,320.0,-0.077,0.05,2.784
5,0.266,307.6,320.0,0.073,0.05,3.461
6,0.219,310.312,320.0,0.159,0.05,4.163
7,0.23,308.127,320.0,0.009,0.05,4.886
8,0.313,301.784,320.0,-0.141,0.05,5.248
9,0.371,300.019,320.0,-0.291,0.05,5.465
10,0.297,307.065,320.0,-0.141,0.05,5.47
11,-0.019,329.611,320.0,0.009,0.05,5.625
12,-0.232,337.17,320.0,0.159,0.05,6.079
13,-0.305,337.241,320.0,0.29,0.05,6.633
14,-0.226,329.298,320.0,0.14,0.05,7.108
15,-0.03,316.085,320.0,-0.01,0.05,7.398
16,0.146,307.431,320.0,-0.061,0.05,7.459
17,0.185,309.232,320.0,-0.081,0.05,7.406
18,0.111,316.153,320.0,0.069,0.05,7.405
19,0.024,321.245,320.0,0.011,0.05,7.78
20,0.032,318.077,320.0,0.0,0.05,7.942
21,0.064,315.67,320.0,0.0,0.05,8.039
22,0.09,314.538,320.0,0.0,0.05,8.159
23,0.093,314.99,320.0,0.0,0.05,8.245
24,0.108,313.894,320.0,-0.008,0.05,8.375
25,0.094,315.372,320.0,0.008,0.05,8.394
26,0.083,315.986,320.0,0.0,0.05,8.522
27,0.091,314.95,320.0,0.0,0.05,8.58
28,0.1,314.476,320.0,-0.0,0.05,8.675
29,0.092,315.411,320.0,0.0,0.05,8.76
30,0.088,315.483,320.0,0.0,0.05,8.806
31,0.081,315.842,320.0,0.0,0.05,8.839
32,0.096,314.56,320.0,0.0,0.05,8.906
33,0.102,314.484,320.0,-0.001,0.05,8.956
34,0.107,314.256,320.0,-0.005,0.05,8.998
35,0.108,314.314,320.0,-0.001,0.05,9.012
36,0.092,315.6,320.0,0.008,0.05,9.084
37,0.091,315.249,320.0,0.0,0.05,9.155
38,0.11,313.683,320.0,-0.01,0.05,9.182
39,0.099,315.074,320.0,0.01,0.05,9.183
40,0.082,316.124,320.0,0.0,0.05,9.246
41,0.104,313.829,320.0,-0.004,0.05,9.298
42,0.113,313.793,320.0,-0.01,0.05,9.288
43,0.097,315.374,320.0,0.013,0.05,9.337
44,0.106,314.193,320.0,-0.006,0.05,9.371
45,0.107,314.344,320.0,-0.001,0.05,9.349
46,0.111,314.08,320.0,-0.004,0.05,9.385
47,0.112,314.147,320.0,-0.001,0.05,9.393
48,0.097,315.344,320.0,0.011,0.05,9.474
49,0.098,314.864,320.0,0.0,0.05,9.462
50,0.098,314.855,320.0,0.0,0.05,9.527
51,0.114,313.571,320.0,-0.014,0.05,9.466
52,0.104,314.856,320.0,0.011,0.05,9.414
53,0.112,313.95,320.0,-0.009,0.05,9.487
54,0.108,314.421,320.0,0.004,0.05,9.565
55,0.101,314.958,320.0,0.008,0.05,9.497
56,0.11,313.996,320.0,-0.009,0.05,9.617
57,0.116,313.828,320.0,-0.006,0.05,9.515
58,0.109,314.477,320.0,0.007,0.05,9.573
59,0.092,315.681,320.0,0.009,0.05,9.576
60,0.104,314.215,320.0,-0.004,0.05,9.619
61,0.125,312.824,320.0,-0.024,0.05,9.594
62,0.12,313.858,320.0,0.006,0.05,9.607
63,0.097,315.602,320.0,0.022,0.05,9.566
64,0.092,315.405,320.0,0.0,0.05,9.75
65,0.122,312.911,320.0,-0.024,0.05,9.653
66,0.116,314.122,320.0,0.007,0.05,9.593
67,0.104,314.978,320.0,0.013,0.05,9.614
68,0.099,314.942,320.0,0.003,0.05,9.668
69,0.127,312.667,320.0,-0.031,0.05,9.672
70,0.124,313.647,320.0,0.004,0.05,9.687
71,0.095,315.887,320.0,0.027,0.05,9.645
72,0.091,315.388,320.0,0.0,0.05,9.709
73,0.1,314.59,320.0,0.0,0.05,9.669
74,0.116,313.5,320.0,-0.017,0.05,9.68
75,0.109,314.485,320.0,0.008,0.05,9.701
76,0.103,314.783,320.0,0.006,0.05,9.717
77,0.1,314.83,320.0,0.003,0.05,9.702
78,0.107,314.221,320.0,-0.006,0.05,9.756
79,0.115,313.793,320.0,-0.009,0.05,9.727
80,0.104,314.832,320.0,0.011,0.05,9.691
81,0.099,315.037,320.0,0.004,0.05,9.762
82,0.086,315.863,320.0,0.0,0.05,9.76
83,0.094,314.859,320.0,0.0,0.05,9.719
84,0.1,314.573,320.0,-0.0,0.05,9.796
85,0.108,314.133,320.0,-0.007,0.05,9.736
86,0.099,315.067,320.0,0.008,0.05,9.702
87,0.094,315.185,320.0,0.0,0.05,9.809
88,0.095,315.006,320.0,0.0,0.05,9.822
89,0.087,315.609,320.0,0.0,0.05,9.785
90,0.096,314.73,320.0,0.0,0.05,9.704
91,0.082,316.114,320.0,0.0,0.05,9.755
92,0.079,315.956,320.0,0.0,0.05,9.755
93,0.083,315.526,320.0,0.0,0.05,9.786
94,0.069,316.729,320.0,0.0,0.05,9.745
95,0.056,317.392,320.0,0.0,0.05,9.772
96,0.035,318.718,320.0,0.0,0.05,9.812
97,0.043,317.481,320.0,0.0,0.05,9.732
98,0.042,317.831,320.0,0.0,0.05,9.792
99,0.048,317.319,320.0,0.0,0.05,9.772
100,0.049,317.366,320.0,0.0,0.05,9.833
101,0.045,317.725,320.0,0.0,0.05,9.78
102,0.034,318.485,320.0,0.0,0.05,9.877
103,0.025,318.951,320.0,0.0,0.05,9.779
104,0.009,320.005,320.0,0.0,0.05,9.781
105,0.008,319.599,320.0,0.0,0.05,9.877
106,0.017,318.803,320.0,0.0,0.05,9.802
107,0.017,319.072,320.0,0.0,0.05,9.784
108,0.033,317.785,320.0,0.0,0.05,9.876
109,0.028,318.615,320.0,0.0,0.05,9.816
110,0.022,319.002,320.0,0.0,0.05,9.783
111,0.03,318.123,320.0,0.0,0.05,9.836
112,0.044,317.182,320.0,0.0,0.05,9.803
113,0.092,313.162,320.0,0.0,0.05,9.891
114,0.133,310.71,320.0,-0.039,0.05,9.864
115,0.147,310.71,320.0,-0.023,0.05,9.678
116,0.152,310.71,320.0,-0.009,0.05,9.687
117,0.154,310.71,320.0,-0.004,0.05,9.707
118,0.154,310.71,320.0,-0.002,0.05,9.743
119,0.154,310.71,320.0,-0.001,0.05,9.734
120,0.155,310.71,320.0,-0.001,0.05,9.715
121,0.155,310.71,320.0,-0.001,0.05,9.732
122,0.155,310.71,320.0,-0.001,0.05,9.757
123,0.054,320.0,320.0,0.075,0.05,9.738
124,0.0,0.0,0.0,0.0,0.05,9.894
125,0.019,320.0,320.0,0.0,0.05,9.957
126,0.0,0.0,0.0,0.0,0.05,9.857
127,0.007,320.0,320.0,0.0,0.05,9.84
128,0.0,0.0,0.0,0.0,0.05,9.927
129,0.002,320.0,320.0,0.0,0.05,9.857
130,0.0,0.0,0.0,0.0,0.05,9.901
131,0.001,320.0,320.0,0.0,0.05,9.894
132,0.0,320.0,320.0,0.0,0.05,9.902
133,0.0,320.0,320.0,0.0,0.05,9.879
134,0.0,320.0,320.0,0.0,0.05,9.886
135,0.0,320.0,320.0,0.0,0.05,9.946
136,0.0,320.0,320.0,0.0,0.05,9.906
137,0.0,320.0,320.0,0.0,0.05,9.882
