frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.193,336.169,320.0,0.15,0.05,-0.001
1,-0.192,335.791,320.0,0.02,0.05,-0.712
2,-0.178,333.814,320.0,-0.13,0.05,-1.96
3,-0.169,333.194,320.0,-0.101,0.05,-2.934
4,-0.209,336.356,320.0,0.049,0.05,-3.807
5,-0.256,340.007,320.0,0.199,0.05,-4.65
6,-0.201,335.653,320.0,0.049,0.05,-5.411
7,-0.077,325.953,320.0,-0.101,0.05,-5.954
8,-0.037,322.89,320.0,-0.251,0.05,-6.253
9,-0.146,331.494,320.0,-0.101,0.05,-6.348
10,-0.334,345.773,320.0,0.049,0.05,-6.65
11,-0.454,353.734,320.0,0.199,0.05,-7.291
12,-0.389,348.255,320.0,0.049,0.05,-7.752
13,-0.187,333.301,320.0,-0.101,0.05,-7.982
14,-0.161,331.696,320.0,-0.251,0.05,-7.99
15,-0.314,343.177,320.0,-0.101,0.05,-7.846
16,-0.571,363.26,320.0,0.049,0.05,-7.969
17,-0.671,371.636,320.0,0.199,0.05,-8.346
18,-0.671,371.636,320.0,0.107,0.05,-8.814
19,-0.671,371.636,320.0,0.107,0.05,-9.143
20,-0.181,335.13,320.0,-0.043,0.05,-9.468
21,0.098,311.803,320.0,-0.193,0.05,-9.804
22,0.049,316.152,320.0,-0.043,0.05,-9.621
23,-0.132,330.119,320.0,0.107,0.05,-9.672
24,-0.145,331.162,320.0,0.214,0.05,-9.978
25,0.099,312.595,320.0,0.064,0.05,-10.478
26,0.383,291.355,320.0,-0.086,0.05,-10.586
27,0.611,277.656,320.0,-0.236,0.05,-10.53
28,0.341,294.598,320.0,-0.086,0.05,-10.061
29,0.341,294.598,320.0,-0.055,0.05,-10.041
30,0.341,294.598,320.0,-0.055,0.05,-10.146
31,-0.234,338.042,320.0,0.095,0.05,-10.155
32,-0.288,342.243,320.0,0.245,0.05,-10.548
33,-0.109,328.739,320.0,0.095,0.05,-11.337
34,0.264,298.694,320.0,-0.055,0.05,-11.865
35,0.428,284.948,320.0,-0.205,0.05,-11.891
36,0.428,284.948,320.0,-0.068,0.05,-11.661
37,0.126,310.345,320.0,0.082,0.05,-11.604
38,0.106,312.497,320.0,0.232,0.05,-11.999
39,0.306,297.52,320.0,0.082,0.05,-12.691
40,0.727,265.315,320.0,-0.068,0.05,-13.065
41,0.75,254.477,320.0,-0.218,0.05,-13.112
42,0.75,261.742,320.0,-0.12,0.05,-12.654
43,0.491,282.201,320.0,0.03,0.05,-12.4
44,0.298,295.47,320.0,0.18,0.05,-12.692
45,0.341,291.452,320.0,0.03,0.05,-13.399
46,0.699,267.307,320.0,-0.12,0.05,-13.66
47,0.75,267.804,320.0,-0.27,0.05,-13.422
48,0.512,283.596,320.0,-0.12,0.05,-12.732
49,0.081,313.899,320.0,0.03,0.05,-12.354
50,-0.106,328.003,320.0,0.18,0.05,-12.712
51,-0.085,326.398,320.0,0.03,0.05,-13.344
52,0.156,308.201,320.0,-0.12,0.05,-13.537
53,0.164,307.49,320.0,-0.127,0.05,-13.299
54,-0.107,328.181,320.0,0.023,0.05,-12.796
55,-0.107,328.181,320.0,0.017,0.05,-12.97
56,-0.107,328.181,320.0,0.017,0.05,-13.261
57,-0.107,328.181,320.0,0.017,0.05,-13.377
58,-0.107,328.181,320.0,0.017,0.05,-13.541
59,-0.107,328.181,320.0,0.017,0.05,-13.682
60,-0.107,328.181,320.0,0.017,0.05,-13.848
61,-0.107,328.181,320.0,0.017,0.05,-13.992
62,-0.406,351.517,320.0,0.167,0.05,-14.164
63,-0.312,344.166,320.0,0.017,0.05,-14.646
64,-0.065,325.206,320.0,-0.133,0.05,-14.83
65,-0.08,326.496,320.0,0.017,0.05,-14.581
66,-0.239,339.047,320.0,0.167,0.05,-14.599
67,-0.183,333.854,320.0,0.017,0.05,-15.17
68,0.06,315.652,320.0,-0.133,0.05,-15.381
69,0.061,315.578,320.0,-0.024,0.05,-14.993
70,-0.08,325.862,320.0,0.126,0.05,-14.826
71,-0.082,326.264,320.0,0.047,0.05,-15.295
72,0.142,309.221,320.0,-0.103,0.05,-15.593
73,0.215,303.853,320.0,-0.253,0.05,-15.291
74,-0.017,321.304,320.0,-0.103,0.05,-14.433
75,-0.507,358.839,320.0,0.047,0.05,-13.987
76,-0.75,379.797,320.0,0.197,0.05,-14.183
77,-0.707,373.172,320.0,0.047,0.05,-14.95
78,-0.393,350.088,320.0,-0.103,0.05,-15.295
79,-0.361,347.237,320.0,-0.253,0.05,-14.942
80,-0.656,369.438,320.0,-0.103,0.05,-14.027
81,-0.75,438.474,320.0,0.047,0.05,-12.941
82,-0.75,467.415,320.0,0.12,0.05,-13.294
83,-0.75,465.943,320.0,0.12,0.05,-14.189
84,-0.75,452.465,320.0,0.12,0.05,-15.026
