frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.221,336.877,320.0,0.15,0.05,0.001
1,-0.222,337.324,320.0,0.056,0.05,0.482
2,-0.228,338.52,320.0,0.178,0.05,1.184
3,-0.23,336.345,320.0,0.067,0.05,2.021
4,-0.221,332.465,320.0,-0.083,0.05,2.912
5,-0.209,331.214,320.0,-0.221,0.05,3.573
6,-0.216,336.895,320.0,-0.071,0.05,3.997
7,-0.251,347.372,320.0,0.079,0.05,4.58
8,-0.286,349.624,320.0,0.229,0.05,5.127
9,-0.296,343.337,320.0,0.267,0.05,5.684
10,-0.253,325.691,320.0,0.117,0.05,6.302
11,-0.105,286.003,320.0,-0.033,0.05,6.87
12,0.051,273.06,320.0,-0.183,0.05,6.971
13,0.176,272.688,320.0,-0.333,0.05,6.971
14,0.235,287.076,320.0,-0.483,0.05,6.922
15,0.191,318.8,320.0,-0.333,0.05,6.424
16,0.037,362.803,320.0,-0.183,0.05,6.232
17,-0.087,362.803,320.0,-0.033,0.05,6.373
18,-0.186,362.803,320.0,0.117,0.05,6.702
19,-0.265,362.803,320.0,0.267,0.05,7.099
20,-0.328,362.803,320.0,0.417,0.05,7.57
21,-0.413,381.223,320.0,0.567,0.05,8.569
22,-0.357,330.152,320.0,0.417,0.05,9.213
23,-0.14,264.698,320.0,0.267,0.05,9.721
24,0.038,206.347,320.0,0.117,0.05,9.938
25,0.18,162.0,320.0,-0.033,0.05,10.081
26,0.294,162.0,320.0,-0.183,0.05,10.019
27,0.385,162.0,320.0,-0.333,0.05,9.908
28,0.458,162.0,320.0,-0.483,0.05,9.563
29,0.517,175.455,320.0,-0.633,0.05,8.931
30,0.563,233.701,320.0,-0.783,0.05,8.021
31,0.366,352.091,320.0,-0.633,0.05,5.797
32,0.209,352.091,320.0,-0.483,0.05,4.738
33,0.083,352.091,320.0,-0.333,0.05,4.111
34,-0.018,352.091,320.0,-0.183,0.05,3.773
35,-0.099,352.091,320.0,-0.033,0.05,3.726
36,-0.163,352.091,320.0,0.117,0.05,4.027
37,-0.215,352.091,320.0,0.267,0.05,4.407
38,-0.256,352.091,320.0,0.417,0.05,5.054
39,-0.289,352.091,320.0,0.567,0.05,5.982
40,-0.231,320.0,320.0,0.417,0.05,6.975
41,-0.185,0.0,0.0,0.267,0.05,8.671
42,-0.148,320.0,320.0,0.117,0.05,8.865
43,-0.118,0.0,0.0,-0.033,0.05,8.907
44,-0.095,320.0,320.0,-0.183,0.05,8.753
45,-0.076,0.0,0.0,-0.333,0.05,8.423
46,-0.061,320.0,320.0,-0.325,0.05,7.713
47,-0.049,320.0,320.0,-0.26,0.05,7.019
48,-0.189,386.82,320.0,-0.11,0.05,6.641
49,-0.301,436.303,320.0,0.04,0.05,6.659
50,-0.391,436.303,320.0,0.19,0.05,6.912
51,-0.463,436.303,320.0,0.34,0.05,7.475
52,-0.52,436.303,320.0,0.49,0.05,8.072
53,-0.566,436.303,320.0,0.64,0.05,8.981
54,-0.574,366.118,320.0,0.49,0.05,9.907
55,-0.401,299.919,320.0,0.34,0.05,10.634
56,-0.262,299.919,320.0,0.19,0.05,11.034
57,-0.151,299.919,320.0,0.04,0.05,11.174
58,-0.062,299.919,320.0,-0.11,0.05,11.137
59,0.009,299.919,320.0,-0.26,0.05,11.058
60,0.066,299.919,320.0,-0.41,0.05,10.72
61,0.111,299.919,320.0,-0.56,0.05,9.67
62,0.148,299.919,320.0,-0.71,0.05,8.643
63,0.228,281.051,320.0,-0.86,0.05,7.046
64,0.033,374.633,320.0,-0.71,0.05,5.321
65,-0.124,374.633,320.0,-0.56,0.05,3.528
66,-0.249,374.633,320.0,-0.41,0.05,4.573
67,-0.349,374.633,320.0,-0.26,0.05,2.009
68,-0.429,374.633,320.0,-0.11,0.05,0.015
69,-0.494,374.633,320.0,0.04,0.05,0.67
70,-0.545,374.633,320.0,0.19,0.05,0.335
71,-0.586,374.633,320.0,0.34,0.05,0.036
72,-0.619,374.633,320.0,0.49,0.05,0.374
73,-0.495,320.0,320.0,0.34,0.05,0.548
74,-0.396,0.0,0.0,0.19,0.05,0.543
75,-0.317,320.0,320.0,0.04,0.05,0.43
76,-0.253,0.0,0.0,-0.11,0.05,0.547
77,-0.203,320.0,320.0,-0.26,0.05,0.345
78,-0.162,0.0,0.0,-0.41,0.05,0.132
79,-0.13,320.0,320.0,-0.56,0.05,0.163
80,-0.104,0.0,0.0,-0.556,0.05,0.224
81,-0.083,320.0,320.0,-0.445,0.05,0.009
82,-0.066,320.0,320.0,-0.356,0.05,0.087
83,-0.053,320.0,320.0,-0.285,0.05,0.034
84,-0.043,320.0,320.0,-0.228,0.05,0.161
85,-0.034,320.0,320.0,-0.182,0.05,0.026
86,-0.027,320.0,320.0,-0.146,0.05,0.019
87,-0.022,320.0,320.0,-0.117,0.05,0.068
88,-0.017,320.0,320.0,-0.093,0.05,0.02
89,-0.014,320.0,320.0,-0.075,0.05,0.092
90,-0.011,320.0,320.0,-0.06,0.05,0.005
91,-0.009,0.0,0.0,-0.048,0.05,0.094
92,-0.007,0.0,0.0,-0.038,0.05,0.015
93,-0.006,0.0,0.0,-0.031,0.05,0.027
94,-0.005,0.0,0.0,-0.024,0.05,0.016
95,-0.004,0.0,0.0,-0.02,0.05,0.013
96,-0.003,0.0,0.0,-0.016,0.05,0.008
97,-0.002,0.0,0.0,-0.013,0.05,0.009
98,-0.002,0.0,0.0,-0.01,0.05,0.005
99,-0.001,0.0,0.0,-0.008,0.05,0.005
100,-0.001,0.0,0.0,-0.006,0.05,0.003
101,-0.001,0.0,0.0,-0.005,0.05,0.004
102,-0.001,0.0,0.0,-0.004,0.05,0.001
103,-0.001,0.0,0.0,-0.003,0.05,0.002
104,-0.0,0.0,0.0,-0.003,0.05,0.003
105,-0.0,0.0,0.0,-0.002,0.05,0.001
106,-0.0,0.0,0.0,-0.002,0.05,0.0
107,-0.0,0.0,0.0,-0.001,0.05,0.001
108,-0.0,0.0,0.0,-0.001,0.05,0.0
109,-0.0,0.0,0.0,-0.001,0.05,0.001
110,-0.0,0.0,0.0,-0.001,0.05,0.0
111,-0.0,0.0,0.0,-0.001,0.05,0.0
112,-0.0,0.0,0.0,-0.0,0.05,0.001
113,-0.0,0.0,0.0,-0.0,0.05,0.0
114,-0.0,0.0,0.0,-0.0,0.05,0.0
115,-0.0,0.0,0.0,-0.0,0.05,0.0
116,-0.0,0.0,0.0,-0.0,0.05,0.0
