frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.067,306.604,240.0,0.15,0.05,0.002
1,-0.179,307.167,239.964,0.15,0.05,0.487
2,-0.094,306.01,239.893,0.0,0.05,1.211
3,-0.041,304.616,239.852,-0.15,0.05,1.976
4,-0.031,305.414,239.845,-0.04,0.05,2.788
5,-0.046,307.768,240.0,0.057,0.05,3.514
6,-0.182,309.199,240.009,0.207,0.05,4.861
7,-0.084,306.504,240.032,0.057,0.05,5.442
8,0.009,302.113,240.035,-0.093,0.05,5.836
9,0.061,300.618,240.022,-0.243,0.05,5.977
10,0.073,298.83,240.0,-0.093,0.05,5.981
11,-0.272,314.793,239.995,0.057,0.05,6.133
12,-0.331,320.135,239.978,0.207,0.05,6.608
13,-0.335,318.874,239.988,0.057,0.05,7.016
14,-0.281,314.804,240.026,-0.093,0.05,7.261
15,-0.367,329.317,240.0,0.057,0.05,7.194
16,-0.518,338.087,240.04,0.207,0.05,7.51
17,-0.489,336.042,240.095,0.057,0.05,7.933
18,-0.401,329.477,240.127,-0.093,0.05,8.117
19,-0.351,327.956,240.113,-0.146,0.05,7.93
20,-0.386,334.232,240.0,0.004,0.05,7.746
21,-0.449,334.232,240.0,0.154,0.05,7.712
22,-0.559,352.952,239.939,0.304,0.05,8.111
23,-0.598,347.478,239.928,0.415,0.05,8.627
24,-0.491,335.858,239.936,0.265,0.05,9.37
25,-0.189,302.623,240.0,0.115,0.05,9.707
26,-0.066,270.044,240.019,-0.035,0.05,10.279
27,0.063,261.712,240.05,-0.185,0.05,10.149
28,0.109,261.405,240.071,-0.335,0.05,9.939
29,0.125,266.416,240.067,-0.185,0.05,9.501
30,0.241,251.444,240.0,-0.335,0.05,9.287
31,0.028,271.838,239.967,-0.185,0.05,8.45
32,-0.056,285.417,239.94,-0.035,0.05,8.218
33,-0.085,285.417,239.94,0.001,0.05,8.462
34,-0.095,285.417,239.94,0.001,0.05,8.512
35,-0.218,319.441,240.0,0.151,0.05,8.579
36,-0.49,334.713,239.99,0.301,0.05,8.864
37,-0.436,329.282,239.975,0.151,0.05,9.376
38,-0.293,319.241,239.965,0.001,0.05,9.671
39,-0.169,313.226,239.967,-0.023,0.05,9.476
40,-0.069,304.421,240.0,-0.173,0.05,9.412
41,-0.215,309.198,240.036,-0.023,0.05,9.143
42,-0.22,314.209,240.077,0.004,0.05,9.091
43,-0.231,314.858,240.051,0.004,0.05,9.274
44,-0.24,315.271,240.03,0.007,0.05,9.276
45,-0.297,325.22,240.0,0.157,0.05,9.326
46,-0.362,325.02,239.974,0.144,0.05,9.558
