frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.057,305.817,240.0,0.15,0.05,0.005
1,-0.174,306.687,239.992,0.177,0.05,0.487
2,-0.094,305.853,239.928,0.027,0.05,1.208
3,-0.036,304.024,239.872,-0.123,0.05,1.992
4,-0.017,304.265,239.857,-0.09,0.05,2.821
5,-0.029,306.441,240.0,0.055,0.05,3.481
6,-0.208,310.97,239.999,0.205,0.05,4.91
7,-0.124,308.411,240.024,0.055,0.05,5.461
8,-0.04,304.334,240.011,-0.095,0.05,5.811
9,0.003,303.215,239.993,-0.206,0.05,5.931
10,-0.034,307.352,240.0,-0.056,0.05,5.935
11,-0.355,322.487,239.967,0.094,0.05,6.207
12,-0.391,325.271,239.961,0.229,0.05,6.62
13,-0.378,323.525,240.001,0.079,0.05,7.248
14,-0.308,318.497,240.019,-0.071,0.05,7.421
15,-0.341,326.161,240.0,0.079,0.05,7.314
16,-0.472,333.459,240.055,0.229,0.05,7.73
17,-0.423,330.702,240.095,0.079,0.05,8.093
18,-0.305,322.27,240.139,-0.071,0.05,8.322
19,-0.232,319.664,240.105,0.008,0.05,8.241
20,-0.173,314.727,240.0,-0.142,0.05,8.309
21,-0.256,314.727,240.0,0.005,0.05,8.416
22,-0.242,318.43,239.93,0.006,0.05,8.497
23,-0.235,318.317,239.923,0.005,0.05,8.629
24,-0.231,318.206,239.936,0.005,0.05,8.683
