frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.223,337.026,320.0,0.15,0.05,0.003
1,-0.229,337.493,320.0,0.119,0.05,0.54
2,-0.25,338.175,320.0,0.269,0.05,1.242
3,-0.223,335.32,320.0,0.119,0.05,2.184
4,-0.132,329.013,320.0,-0.031,0.05,3.027
5,-0.074,325.061,320.0,-0.181,0.05,3.676
6,-0.123,328.521,320.0,-0.031,0.05,4.224
7,-0.225,335.756,320.0,0.119,0.05,4.752
8,-0.21,334.512,320.0,-0.031,0.05,5.308
9,-0.139,329.629,320.0,-0.181,0.05,5.61
10,-0.163,331.218,320.0,-0.031,0.05,5.75
11,-0.374,346.29,320.0,0.119,0.05,6.095
12,-0.375,345.785,320.0,0.068,0.05,6.488
13,-0.27,338.631,320.0,-0.082,0.05,6.895
14,-0.2,333.895,320.0,-0.232,0.05,6.912
15,-0.367,346.087,320.0,-0.082,0.05,6.855
16,-0.638,367.038,320.0,0.068,0.05,6.83
17,-0.75,376.438,320.0,0.218,0.05,7.211
18,-0.656,369.338,320.0,0.068,0.05,7.853
19,-0.402,350.176,320.0,-0.082,0.05,7.976
20,-0.324,344.414,320.0,-0.232,0.05,7.831
21,-0.51,357.952,320.0,-0.082,0.05,7.599
22,-0.51,357.952,320.0,0.068,0.05,7.605
23,-0.51,357.952,320.0,0.082,0.05,7.991
24,-0.51,357.952,320.0,0.082,0.05,8.3
25,-0.703,372.367,320.0,0.232,0.05,8.454
26,-0.531,359.43,320.0,0.082,0.05,8.842
27,-0.234,337.227,320.0,-0.068,0.05,8.997
28,-0.104,327.669,320.0,-0.218,0.05,8.88
29,-0.232,337.283,320.0,-0.068,0.05,8.546
30,-0.492,356.944,320.0,0.082,0.05,8.526
31,-0.668,369.438,320.0,0.232,0.05,8.803
32,-0.543,360.056,320.0,0.082,0.05,9.236
33,-0.211,335.656,320.0,-0.068,0.05,9.356
34,-0.069,325.077,320.0,-0.218,0.05,9.16
35,-0.196,334.508,320.0,-0.068,0.05,8.84
36,-0.48,355.762,320.0,0.082,0.05,8.758
37,-0.556,361.072,320.0,0.232,0.05,9.076
38,-0.4,349.532,320.0,0.082,0.05,9.549
39,-0.094,326.969,320.0,-0.068,0.05,9.621
40,0.036,317.328,320.0,-0.218,0.05,9.453
41,-0.163,332.109,320.0,-0.068,0.05,9.047
42,-0.451,353.153,320.0,0.082,0.05,9.015
43,-0.548,360.017,320.0,0.232,0.05,9.225
44,-0.37,347.33,320.0,0.082,0.05,9.692
45,-0.05,323.735,320.0,-0.068,0.05,9.81
46,0.109,311.931,320.0,-0.218,0.05,9.586
47,-0.018,321.341,320.0,-0.068,0.05,9.276
48,-0.302,342.26,320.0,0.082,0.05,9.2
49,-0.381,348.203,320.0,0.232,0.05,9.355
50,-0.206,335.276,320.0,0.082,0.05,9.834
51,0.622,274.005,320.0,-0.068,0.05,10.343
52,0.75,259.655,320.0,-0.218,0.05,10.101
53,0.713,267.793,320.0,-0.068,0.05,9.753
54,0.454,286.736,320.0,0.082,0.05,9.734
55,0.417,289.318,320.0,0.232,0.05,9.866
56,0.574,277.26,320.0,0.082,0.05,10.359
57,0.75,247.571,320.0,-0.068,0.05,10.471
58,0.75,235.676,320.0,-0.12,0.05,10.21
59,0.75,241.562,320.0,-0.12,0.05,9.936
60,0.75,255.066,320.0,-0.12,0.05,9.774
61,0.58,277.603,320.0,0.03,0.05,9.481
62,0.406,290.111,320.0,0.18,0.05,9.632
63,0.484,284.854,320.0,0.03,0.05,9.971
64,0.75,265.544,320.0,-0.12,0.05,10.028
65,0.75,262.2,320.0,-0.12,0.05,9.804
66,0.625,274.517,320.0,0.03,0.05,9.393
67,0.427,288.487,320.0,0.18,0.05,9.616
68,0.517,281.922,320.0,0.03,0.05,9.97
69,0.75,264.862,320.0,-0.12,0.05,10.054
70,0.75,261.368,320.0,-0.12,0.05,9.703
71,0.465,286.297,320.0,0.03,0.05,9.27
72,0.251,301.735,320.0,0.18,0.05,9.435
73,0.333,295.657,320.0,0.03,0.05,9.828
74,0.535,281.295,320.0,-0.12,0.05,9.816
75,0.567,278.901,320.0,-0.27,0.05,9.625
76,0.342,295.058,320.0,-0.12,0.05,9.01
77,0.342,295.058,320.0,-0.055,0.05,8.808
78,0.342,295.058,320.0,-0.055,0.05,8.879
79,0.342,295.058,320.0,-0.055,0.05,8.797
80,0.342,295.058,320.0,-0.055,0.05,8.712
81,0.342,295.058,320.0,-0.055,0.05,8.562
82,0.342,295.058,320.0,-0.055,0.05,8.433
83,0.342,295.058,320.0,-0.055,0.05,8.345
84,0.342,295.058,320.0,-0.055,0.05,8.266
85,0.0,320.0,320.0,0.095,0.05,8.111
86,0.0,0.0,0.0,-0.0,0.05,8.405
87,0.0,320.0,320.0,-0.0,0.05,8.355
88,0.0,0.0,0.0,-0.0,0.05,8.329
89,0.0,320.0,320.0,-0.0,0.05,8.371
90,0.0,0.0,0.0,-0.0,0.05,8.305
91,0.0,320.0,320.0,-0.0,0.05,8.287
92,0.0,0.0,0.0,-0.0,0.05,8.317
93,0.0,320.0,320.0,-0.0,0.05,8.391
94,0.0,320.0,320.0,-0.0,0.05,8.291
95,0.0,320.0,320.0,-0.0,0.05,8.345
96,0.0,320.0,320.0,-0.0,0.05,8.322
97,0.0,320.0,320.0,-0.0,0.05,8.309
98,0.0,320.0,320.0,-0.0,0.05,8.401
99,0.0,320.0,320.0,-0.0,0.05,8.241
100,0.0,320.0,320.0,-0.0,0.05,8.303
101,-0.4,348.653,320.0,0.15,0.05,8.283
102,-0.594,368.103,320.0,0.3,0.05,8.632
103,-0.75,393.807,320.0,0.45,0.05,9.166
104,-0.725,408.647,320.0,0.3,0.05,10.003
105,-0.725,408.647,320.0,0.15,0.05,10.446
106,-0.097,333.583,320.0,-0.0,0.05,10.592
107,-0.097,333.583,320.0,0.016,0.05,10.467
108,0.0,0.0,0.0,-0.134,0.05,10.424
109,-0.097,333.583,320.0,0.016,0.05,10.299
110,0.0,0.0,0.0,-0.134,0.05,10.273
111,-0.097,333.583,320.0,0.016,0.05,10.148
112,0.0,0.0,0.0,-0.134,0.05,10.195
113,0.015,317.92,320.0,-0.218,0.05,10.099
114,0.0,0.0,0.0,-0.068,0.05,9.615
115,-0.222,350.791,320.0,0.082,0.05,9.54
116,-0.222,350.791,320.0,0.036,0.05,9.794
117,-0.222,350.791,320.0,0.036,0.05,9.849
118,-0.222,350.791,320.0,0.036,0.05,9.926
119,-0.222,350.791,320.0,0.036,0.05,10.025
120,-0.222,350.791,320.0,0.036,0.05,9.989
121,-0.222,350.791,320.0,0.036,0.05,10.18
122,-0.005,320.643,320.0,-0.114,0.05,10.273
123,0.005,319.308,320.0,-0.139,0.05,10.05
124,-0.064,328.624,320.0,0.011,0.05,9.661
125,-0.154,340.964,320.0,0.161,0.05,9.815
126,-0.134,338.378,320.0,0.011,0.05,10.059
127,-0.059,328.07,320.0,-0.139,0.05,10.11
128,-0.059,328.058,320.0,0.009,0.05,9.777
129,-0.125,337.123,320.0,0.159,0.05,9.829
130,-0.109,334.859,320.0,0.009,0.05,10.175
131,0.047,313.734,320.0,-0.141,0.05,10.283
132,0.058,312.307,320.0,-0.164,0.05,10.004
133,-0.041,325.537,320.0,-0.014,0.05,9.587
134,-0.139,338.981,320.0,0.136,0.05,9.689
135,-0.15,340.484,320.0,0.176,0.05,9.937
136,-0.046,326.148,320.0,0.026,0.05,10.365
137,0.075,310.177,320.0,-0.124,0.05,10.333
138,0.085,308.861,320.0,-0.15,0.05,10.07
139,-0.005,320.695,320.0,0.0,0.05,9.656
140,-0.101,333.805,320.0,0.15,0.05,9.819
141,-0.087,331.741,320.0,0.0,0.05,10.091
142,-0.018,322.381,320.0,-0.15,0.05,10.037
143,-0.032,324.295,320.0,0.0,0.05,9.749
144,-0.111,335.052,320.0,0.15,0.05,9.821
145,-0.094,332.646,320.0,0.0,0.05,9.972
146,-0.037,324.95,320.0,-0.15,0.05,10.043
147,-0.055,327.463,320.0,0.0,0.05,9.745
148,-0.13,337.668,320.0,0.15,0.05,9.674
149,-0.128,337.489,320.0,0.0,0.05,10.082
150,-0.068,329.181,320.0,-0.15,0.05,10.059
151,-0.074,329.901,320.0,0.0,0.05,9.735
152,-0.134,338.297,320.0,0.15,0.05,9.688
153,-0.143,339.405,320.0,0.151,0.05,10.032
154,-0.046,326.092,320.0,0.001,0.05,10.41
155,0.056,312.679,320.0,-0.149,0.05,10.282
156,0.057,312.583,320.0,-0.018,0.05,9.947
157,-0.021,322.776,320.0,0.132,0.05,9.997
158,-0.011,321.499,320.0,-0.018,0.05,10.149
159,0.051,313.374,320.0,-0.168,0.05,10.174
160,0.03,316.01,320.0,-0.018,0.05,9.892
161,-0.198,346.796,320.0,0.132,0.05,9.577
