frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.073,307.024,240.0,0.15,0.05,0.0
1,-0.179,307.217,239.953,0.136,0.05,0.48
2,-0.093,306.099,239.875,-0.014,0.05,1.196
3,-0.044,305.07,239.844,-0.162,0.05,1.961
4,-0.033,305.668,239.808,-0.049,0.05,2.767
5,-0.046,307.818,240.0,0.047,0.05,3.508
6,-0.183,309.283,240.018,0.197,0.05,4.635
7,-0.108,308.284,240.05,0.047,0.05,5.251
8,-0.026,304.095,240.055,-0.103,0.05,5.625
9,0.02,302.787,240.031,-0.248,0.05,5.777
10,0.018,302.991,240.0,-0.098,0.05,5.796
11,-0.256,314.101,240.018,0.052,0.05,6.135
12,-0.279,317.735,239.966,0.068,0.05,6.602
13,-0.275,316.864,239.96,-0.008,0.05,6.745
14,-0.272,316.985,240.005,-0.004,0.05,6.895
15,-0.387,332.824,240.0,0.146,0.05,7.091
16,-0.453,333.761,240.026,0.296,0.05,7.6
17,-0.355,328.196,240.075,0.146,0.05,8.029
18,-0.218,319.615,240.093,-0.004,0.05,8.347
19,-0.102,313.905,240.113,-0.154,0.05,8.348
20,0.088,291.382,240.0,-0.304,0.05,8.21
21,-0.189,305.039,239.992,-0.154,0.05,7.748
22,-0.287,315.912,239.958,-0.004,0.05,7.509
23,-0.414,323.446,239.928,0.146,0.05,7.822
24,-0.464,323.917,239.921,0.296,0.05,8.241
25,-0.609,347.432,240.0,0.446,0.05,8.69
26,-0.345,325.878,240.032,0.296,0.05,9.715
27,-0.105,305.531,240.046,0.146,0.05,10.072
28,-0.021,289.781,240.064,-0.004,0.05,10.187
29,0.008,280.301,240.062,-0.154,0.05,10.137
30,0.238,209.266,240.0,-0.304,0.05,9.997
31,0.083,217.097,240.017,-0.154,0.05,9.395
32,0.187,227.278,240.036,-0.304,0.05,9.302
33,0.224,234.922,240.013,-0.386,0.05,8.846
34,0.207,248.52,240.007,-0.236,0.05,8.09
35,-0.112,323.909,240.0,-0.086,0.05,7.803
36,-0.291,323.909,240.0,0.064,0.05,7.603
37,-0.254,323.909,240.0,-0.061,0.05,8.017
38,-0.241,323.909,240.0,-0.002,0.05,7.847
39,-0.237,323.909,240.0,0.004,0.05,7.784
40,-0.279,323.909,240.0,0.154,0.05,7.906
41,-0.349,323.909,240.0,0.121,0.05,8.167
42,-0.277,321.943,240.465,-0.029,0.05,8.594
43,-0.239,161.013,79.535,0.007,0.05,8.351
44,-0.253,321.943,240.465,0.007,0.05,8.351
