frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.065,306.426,240.0,0.15,0.05,0.001
1,-0.175,306.791,239.975,0.156,0.05,0.534
2,-0.088,305.68,239.897,0.006,0.05,1.245
3,-0.036,304.432,239.834,-0.144,0.05,2.092
4,-0.023,304.877,239.823,-0.062,0.05,2.836
5,-0.043,307.818,240.0,0.088,0.05,3.494
6,-0.187,309.612,240.003,0.215,0.05,4.661
7,-0.101,307.587,240.011,0.065,0.05,5.265
8,0.006,301.957,240.032,-0.085,0.05,5.632
9,0.071,299.797,240.013,-0.235,0.05,5.836
10,0.081,298.377,240.0,-0.085,0.05,5.874
11,-0.199,309.178,239.993,0.065,0.05,6.162
12,-0.211,312.623,239.962,0.016,0.05,6.644
13,-0.213,312.512,239.992,0.005,0.05,6.859
14,-0.221,313.136,239.967,0.016,0.05,7.021
15,-0.338,329.024,240.0,0.166,0.05,7.165
16,-0.396,328.617,240.033,0.188,0.05,7.719
17,-0.29,323.254,240.07,0.038,0.05,8.143
18,-0.175,316.773,240.063,-0.038,0.05,8.216
19,-0.122,315.609,240.093,-0.15,0.05,8.168
20,-0.028,303.348,240.0,-0.3,0.05,8.024
21,-0.3,316.762,239.993,-0.15,0.05,7.504
22,-0.421,328.269,239.956,0.0,0.05,7.416
23,-0.464,328.269,239.956,0.15,0.05,7.677
24,-0.479,328.269,239.956,0.159,0.05,7.958
25,-0.678,361.68,240.0,0.309,0.05,8.386
26,-0.555,348.108,240.01,0.159,0.05,9.069
27,-0.37,336.913,240.015,0.009,0.05,9.357
28,-0.217,329.512,240.029,-0.141,0.05,9.28
29,-0.146,328.179,240.067,-0.291,0.05,9.087
30,-0.022,306.279,240.0,-0.441,0.05,8.633
31,-0.459,331.735,240.059,-0.291,0.05,7.393
32,-0.497,331.735,240.059,-0.141,0.05,6.949
33,-0.511,331.735,240.059,0.009,0.05,6.955
34,-0.516,331.735,240.059,0.071,0.05,7.22
35,-0.69,357.154,240.0,0.221,0.05,7.5
36,-0.693,357.154,240.0,0.071,0.05,8.01
37,-0.692,357.154,240.0,0.02,0.05,8.096
38,-0.691,357.154,240.0,0.027,0.05,8.096
39,-0.467,338.483,240.405,-0.123,0.05,8.147
40,-0.042,80.0,80.0,-0.273,0.05,7.883
41,-0.042,80.0,80.0,-0.123,0.05,7.068
42,-0.057,240.0,240.0,0.0,0.05,6.868
43,-0.042,80.0,80.0,0.0,0.05,7.054
44,-0.047,240.0,240.0,0.0,0.05,7.136
45,-0.002,80.0,80.0,0.0,0.05,7.117
46,-0.002,240.0,240.0,0.0,0.05,7.205
47,-0.002,240.0,240.0,0.0,0.05,7.104
48,-0.228,277.806,239.585,0.15,0.05,7.224
49,-0.307,284.979,239.491,0.3,0.05,7.62
