frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.074,307.113,240.0,0.15,0.05,0.004
1,-0.181,307.351,239.964,0.134,0.05,0.532
2,-0.092,306.036,239.88,-0.016,0.05,1.231
3,-0.039,304.775,239.844,-0.166,0.05,2.071
4,-0.025,305.156,239.807,-0.07,0.05,2.828
5,-0.044,308.051,240.0,0.08,0.05,3.573
6,-0.194,310.33,240.035,0.213,0.05,4.632
7,-0.111,308.331,240.034,0.063,0.05,5.279
8,-0.021,303.836,240.07,-0.087,0.05,5.651
9,0.037,301.82,240.049,-0.237,0.05,5.801
10,0.041,301.065,240.0,-0.087,0.05,5.816
11,-0.348,320.91,239.945,0.063,0.05,6.276
12,-0.417,325.59,239.991,0.213,0.05,6.598
13,-0.424,324.354,239.985,0.073,0.05,7.134
14,-0.345,318.061,240.005,-0.077,0.05,7.45
15,-0.422,332.944,240.0,0.073,0.05,7.364
16,-0.523,338.865,240.033,0.223,0.05,7.62
17,-0.481,336.262,240.064,0.073,0.05,8.086
18,-0.383,329.289,240.099,-0.077,0.05,8.261
19,-0.311,326.171,240.083,-0.095,0.05,8.086
20,-0.286,325.178,240.0,-0.245,0.05,7.996
21,-0.359,325.178,240.0,-0.095,0.05,6.633
22,-0.315,325.178,240.0,-0.103,0.05,6.667
23,-0.3,325.178,240.0,-0.015,0.05,6.663
24,-0.294,325.178,240.0,0.001,0.05,6.635
25,-0.295,325.178,240.0,0.023,0.05,6.749
26,-0.362,325.178,240.0,0.15,0.05,6.866
27,-0.285,322.574,240.461,-0.0,0.05,7.187
28,-0.243,161.653,79.539,0.007,0.05,7.115
29,-0.258,322.574,240.461,0.007,0.05,7.149
