frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.224,337.06,320.0,0.15,0.05,0.003
1,-0.226,337.55,320.0,0.085,0.05,0.541
2,-0.231,337.343,320.0,0.146,0.05,1.252
3,-0.231,335.901,320.0,0.032,0.05,2.262
4,-0.205,331.25,320.0,-0.118,0.05,3.021
5,-0.192,331.994,320.0,-0.241,0.05,3.689
6,-0.222,338.488,320.0,-0.091,0.05,4.108
7,-0.307,350.586,320.0,0.059,0.05,4.615
8,-0.384,354.554,320.0,0.209,0.05,5.208
9,-0.401,349.457,320.0,0.359,0.05,5.712
10,-0.308,331.81,320.0,0.209,0.05,6.337
11,0.0,290.894,320.0,0.059,0.05,6.916
12,0.278,269.534,320.0,-0.091,0.05,7.157
13,0.467,262.255,320.0,-0.241,0.05,7.223
14,0.578,268.014,320.0,-0.391,0.05,7.191
15,0.515,290.092,320.0,-0.241,0.05,6.846
16,0.28,325.354,320.0,-0.091,0.05,6.813
17,0.0,354.617,320.0,0.059,0.05,6.952
18,-0.253,365.694,320.0,0.209,0.05,7.382
19,-0.356,358.647,320.0,0.359,0.05,7.913
20,-0.3,336.371,320.0,0.209,0.05,8.413
21,0.0,272.244,320.0,0.059,0.05,9.017
22,0.345,244.77,320.0,-0.091,0.05,9.016
23,0.507,233.665,320.0,-0.241,0.05,9.009
24,0.604,238.865,320.0,-0.391,0.05,8.707
25,0.663,263.44,320.0,-0.541,0.05,8.227
26,0.46,308.346,320.0,-0.391,0.05,7.389
27,0.0,368.058,320.0,-0.241,0.05,6.896
28,-0.25,368.058,320.0,-0.091,0.05,6.677
29,-0.41,368.058,320.0,0.059,0.05,6.896
30,-0.506,368.058,320.0,0.209,0.05,7.16
31,-0.563,368.058,320.0,0.359,0.05,7.736
32,-0.598,368.058,320.0,0.509,0.05,8.347
33,-0.618,368.058,320.0,0.542,0.05,9.181
34,-0.575,357.843,320.0,0.392,0.05,10.016
35,-0.142,281.722,320.0,0.242,0.05,10.503
36,0.215,221.757,320.0,0.092,0.05,10.722
37,0.429,174.53,320.0,-0.058,0.05,10.794
38,0.557,155.331,320.0,-0.208,0.05,10.688
39,0.634,154.599,320.0,-0.358,0.05,10.408
40,0.681,172.082,320.0,-0.508,0.05,10.013
41,0.708,255.914,320.0,-0.658,0.05,8.384
42,0.406,323.592,320.0,-0.508,0.05,7.129
43,0.224,323.592,320.0,-0.358,0.05,6.199
44,0.115,323.592,320.0,-0.208,0.05,5.703
45,0.0,323.592,320.0,-0.058,0.05,5.599
46,0.0,323.592,320.0,0.0,0.05,5.762
47,0.0,323.592,320.0,0.0,0.05,5.878
48,0.0,323.592,320.0,0.0,0.05,5.958
49,0.0,323.592,320.0,0.0,0.05,6.034
50,0.0,323.592,320.0,0.0,0.05,5.964
51,0.0,320.0,320.0,0.0,0.05,6.067
52,0.0,0.0,0.0,0.0,0.05,5.929
53,0.0,320.0,320.0,0.0,0.05,6.069
54,0.0,0.0,0.0,0.0,0.05,6.068
