frame,deviation,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.22020851731443483,336.85270113338095,320.0,0.15,0.05,-0.0038814594503492118
1,-0.23713595580113936,338.06494433782484,320.0,0.27493503863150803,0.05,0.5335533320903778
2,-0.2541308631456906,338.6329201854739,320.0,0.27860387043375323,0.05,1.3168800830841065
3,-0.1840513632120241,332.71130735798636,320.0,0.12860387043375324,0.05,2.3087120532989505
4,-0.07011104301893847,324.774662359511,320.0,-0.021396129566246758,0.05,3.108384132385254
5,0.003985823092338226,319.7251874339549,320.0,-0.17139612956624675,0.05,3.7400216102600097
6,-0.03225680598046258,322.24002940374,320.0,-0.021396129566246758,0.05,4.230041456222534
7,-0.12717407270765294,328.9251842930739,320.0,0.12860387043375324,0.05,4.758242654800415
8,-0.09332839330321036,326.4997024120695,320.0,-0.021396129566246758,0.05,5.373011827468872
9,-0.016102583846240266,321.10735820331047,320.0,-0.17139612956624675,0.05,5.6605188846588135
10,-0.02239922764898129,321.5521811605405,320.0,-0.021396129566246758,0.05,5.771266222000122
11,-0.23359892508036512,336.3550643384259,320.0,0.12860387043375324,0.05,6.1773432254791265
12,-0.24349788351854373,336.96933194705616,320.0,0.17757967969369737,0.05,6.689084243774414
13,-0.07440226206902245,325.1773022521634,320.0,0.027579679693697373,0.05,7.147329568862915
14,0.166778451274808,308.320714874287,320.0,-0.12242032030630262,0.05,7.381288146972657
15,0.13872038452579882,310.0469803465584,320.0,0.027579679693697373,0.05,7.203410911560058
16,0.023024063150873873,318.2997789766982,320.0,0.17757967969369737,0.05,7.479051876068115
17,0.10046040545915128,312.47903147745836,320.0,0.027579679693697373,0.05,7.897617244720459
18,0.2534627369839007,300.751277150425,320.0,-0.12242032030630262,0.05,8.043413543701172
19,0.31052475446045197,296.52793161010703,320.0,-0.2724203203063026,0.05,8.01668930053711
20,0.14816762851248994,308.77435078933115,320.0,-0.1224203203063026,0.05,7.723685646057129
21,-0.3108381229365833,343.013780252646,320.0,0.0275796796936974,0.05,7.572690582275391
22,-0.4752338542332249,355.3471437757279,320.0,0.1775796796936974,0.05,7.937369728088379
23,-0.432831280199999,352.16167551521846,320.0,0.0275796796936974,0.05,8.261143684387207
24,-0.2591626894899772,339.0963164376438,320.0,-0.1224203203063026,0.05,8.345051765441895
25,-0.24923616605382784,338.39948003981215,320.0,-0.09904573002223696,0.05,8.253749370574951
26,-0.42591807328677755,351.62073086230885,320.0,0.050954269977763034,0.05,8.121822452545166
27,-0.5798660333288241,362.5335050653713,320.0,0.20095426997776303,0.05,8.345776176452636
28,-0.4789619344885657,355.52080525242604,320.0,0.050954269977763034,0.05,8.757242488861085
29,-0.25578036934284093,338.9160796503316,320.0,-0.09904573002223696,0.05,8.876003837585449
30,-0.21393268481317562,335.84995464266706,320.0,-0.24904573002223696,0.05,8.664889526367189
31,-0.4805753711763984,356.0478465857137,320.0,-0.09904573002223696,0.05,8.236685371398925
32,-0.4805753711763984,356.0478465857137,320.0,0.050954269977763034,0.05,8.122607803344726
33,-0.4805753711763984,356.0478465857137,320.0,0.07700779460764154,0.05,8.43259563446045
