frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.065,306.403,240.0,0.15,0.05,0.0
1,-0.177,306.961,239.961,0.157,0.05,0.545
2,-0.089,305.75,239.879,0.007,0.05,1.256
3,-0.039,304.594,239.841,-0.143,0.05,2.111
4,-0.03,305.246,239.836,-0.042,0.05,2.845
5,-0.037,306.861,240.0,0.028,0.05,3.514
6,-0.188,309.327,240.037,0.178,0.05,4.958
7,-0.094,306.811,240.042,0.028,0.05,5.435
8,-0.011,303.003,240.037,-0.122,0.05,5.79
9,0.005,303.723,240.069,-0.086,0.05,5.901
10,0.009,303.068,240.0,-0.02,0.05,6.059
11,-0.202,309.817,239.976,0.13,0.05,6.643
12,-0.172,311.002,240.004,0.003,0.05,7.055
13,-0.132,308.729,240.008,0.003,0.05,7.194
14,-0.125,309.241,240.032,0.003,0.05,7.34
15,-0.178,316.318,240.0,0.153,0.05,7.517
16,-0.276,317.015,240.039,0.018,0.05,7.994
17,-0.173,312.95,240.078,-0.008,0.05,8.12
18,-0.115,311.232,240.096,-0.083,0.05,8.139
19,-0.097,311.398,240.093,-0.051,0.05,8.112
20,-0.123,314.064,240.0,0.018,0.05,8.111
21,-0.291,318.651,239.927,0.108,0.05,8.37
22,-0.243,317.907,239.922,-0.042,0.05,8.65
23,-0.186,314.678,239.913,0.005,0.05,8.565
24,-0.177,315.486,239.912,0.004,0.05,8.607
25,-0.181,315.839,240.0,0.103,0.05,8.723
26,-0.255,314.987,240.041,0.005,0.05,9.028
27,-0.15,311.43,240.04,-0.013,0.05,9.038
28,-0.12,311.952,240.058,-0.054,0.05,9.028
29,-0.11,312.038,240.085,-0.023,0.05,8.913
30,-0.124,313.558,240.0,-0.024,0.05,8.963
31,-0.265,316.268,239.983,0.057,0.05,8.972
32,-0.223,316.77,239.952,-0.011,0.05,9.13
33,-0.182,314.633,239.947,0.004,0.05,9.16
34,-0.172,314.988,239.957,0.004,0.05,9.205
35,-0.178,315.627,240.0,0.096,0.05,9.232
36,-0.25,314.624,239.972,0.005,0.05,9.469
37,-0.141,310.871,239.986,-0.027,0.05,9.502
38,-0.105,311.109,239.968,-0.08,0.05,9.392
39,-0.117,312.998,239.943,0.037,0.05,9.249
40,-0.154,316.817,240.0,0.044,0.05,9.376
41,-0.195,311.416,240.001,0.009,0.05,9.668
42,-0.102,310.011,240.031,-0.105,0.05,9.637
43,-0.059,309.292,240.041,-0.156,0.05,9.441
44,-0.104,314.164,240.032,-0.006,0.05,9.099
45,-0.218,324.716,240.0,0.144,0.05,9.227
46,-0.345,325.643,239.963,0.158,0.05,9.56
47,-0.224,318.934,239.962,0.008,0.05,9.869
48,-0.094,311.863,239.959,-0.142,0.05,9.836
49,-0.046,311.743,239.953,-0.223,0.05,9.552
50,-0.061,310.296,240.0,-0.073,0.05,8.991
51,-0.189,310.296,240.0,0.077,0.05,8.548
