frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.221,336.877,320.0,0.15,0.05,-0.0
1,-0.234,337.864,320.0,0.216,0.05,0.534
2,-0.258,338.755,320.0,0.366,0.05,1.239
3,-0.186,332.844,320.0,0.216,0.05,2.309
4,-0.038,322.591,320.0,0.066,0.05,3.118
5,0.095,313.459,320.0,-0.084,0.05,3.807
6,0.111,312.301,320.0,-0.234,0.05,4.367
7,0.045,316.846,320.0,-0.084,0.05,4.621
8,-0.124,328.707,320.0,0.066,0.05,5.113
9,-0.187,332.854,320.0,0.216,0.05,5.628
10,-0.097,326.71,320.0,0.066,0.05,6.206
11,0.322,297.467,320.0,-0.084,0.05,6.717
12,0.43,290.225,320.0,-0.234,0.05,6.853
13,0.331,297.061,320.0,-0.084,0.05,6.804
14,0.064,315.485,320.0,0.066,0.05,6.875
15,-0.078,325.701,320.0,0.216,0.05,7.316
16,0.002,319.855,320.0,0.066,0.05,7.738
17,0.246,301.79,320.0,-0.084,0.05,7.916
18,0.335,295.039,320.0,-0.234,0.05,7.905
19,0.21,304.113,320.0,-0.084,0.05,7.663
20,-0.052,323.941,320.0,0.066,0.05,7.755
21,-0.198,334.725,320.0,0.216,0.05,8.063
22,-0.067,324.997,320.0,0.066,0.05,8.522
23,0.207,304.679,320.0,-0.084,0.05,8.667
24,0.316,296.642,320.0,-0.234,0.05,8.514
25,0.165,307.713,320.0,-0.084,0.05,8.205
26,-0.141,330.38,320.0,0.066,0.05,8.208
27,-0.258,338.966,320.0,0.216,0.05,8.507
28,-0.144,330.656,320.0,0.066,0.05,8.934
29,0.161,308.134,320.0,-0.084,0.05,9.062
30,0.247,301.453,320.0,-0.234,0.05,8.899
31,0.07,314.82,320.0,-0.084,0.05,8.539
32,-0.235,337.44,320.0,0.066,0.05,8.441
33,-0.362,346.812,320.0,0.216,0.05,8.769
34,-0.241,337.987,320.0,0.066,0.05,9.194
35,0.049,316.397,320.0,-0.084,0.05,9.325
36,0.132,310.19,320.0,-0.234,0.05,9.11
37,-0.007,320.543,320.0,-0.084,0.05,8.707
38,-0.337,344.784,320.0,0.066,0.05,8.59
39,-0.458,353.986,320.0,0.216,0.05,8.869
40,-0.345,345.706,320.0,0.066,0.05,9.393
41,0.2,305.036,320.0,-0.084,0.05,9.661
42,0.337,295.213,320.0,-0.234,0.05,9.467
43,0.176,307.16,320.0,-0.084,0.05,8.984
