frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,-0.223,337.008,320.0,0.15,0.05,0.001
1,-0.232,338.173,320.0,0.187,0.05,0.533
2,-0.244,338.365,320.0,0.223,0.05,1.244
3,-0.219,333.956,320.0,0.073,0.05,2.298
4,-0.156,327.722,320.0,-0.077,0.05,3.022
5,-0.114,325.948,320.0,-0.227,0.05,3.637
6,-0.137,330.581,320.0,-0.077,0.05,4.133
7,-0.243,341.852,320.0,0.073,0.05,4.647
8,-0.297,343.037,320.0,0.223,0.05,5.173
9,-0.27,337.486,320.0,0.073,0.05,5.783
10,-0.131,322.613,320.0,-0.077,0.05,6.117
11,0.0,315.025,320.0,-0.227,0.05,6.337
12,0.0,322.107,320.0,-0.077,0.05,6.236
13,-0.151,336.435,320.0,0.073,0.05,6.537
14,-0.252,342.425,320.0,0.223,0.05,6.937
15,-0.254,338.504,320.0,0.073,0.05,7.44
16,-0.122,322.519,320.0,-0.077,0.05,7.72
17,0.0,316.213,320.0,-0.227,0.05,7.667
18,0.0,324.682,320.0,-0.077,0.05,7.485
19,-0.197,342.608,320.0,0.073,0.05,7.516
20,-0.318,350.051,320.0,0.223,0.05,7.9
21,-0.232,333.038,320.0,0.073,0.05,8.438
22,0.0,310.323,320.0,-0.077,0.05,8.651
23,0.136,302.517,320.0,-0.227,0.05,8.486
24,0.141,309.28,320.0,-0.1,0.05,8.237
25,0.0,330.063,320.0,0.05,0.05,8.248
26,-0.171,340.023,320.0,0.2,0.05,8.498
27,-0.165,331.782,320.0,0.05,0.05,8.853
28,0.0,313.888,320.0,-0.1,0.05,8.954
29,0.0,308.305,320.0,0.0,0.05,8.802
30,0.0,315.67,320.0,0.0,0.05,8.877
31,0.0,312.316,320.0,0.0,0.05,8.994
32,0.103,311.621,320.0,-0.15,0.05,9.066
33,0.102,312.438,320.0,-0.002,0.05,8.943
34,0.0,322.691,320.0,0.148,0.05,8.975
35,0.0,319.422,320.0,0.0,0.05,9.337
36,0.0,308.165,320.0,0.0,0.05,9.279
37,0.16,305.229,320.0,-0.15,0.05,9.354
38,0.175,306.476,320.0,-0.253,0.05,9.107
39,0.0,324.415,320.0,-0.103,0.05,8.647
40,-0.25,352.677,320.0,0.047,0.05,8.535
41,-0.363,352.677,320.0,0.197,0.05,8.673
42,-0.409,352.677,320.0,0.347,0.05,9.06
43,-0.416,351.247,320.0,0.197,0.05,9.717
44,-0.112,313.309,320.0,0.047,0.05,9.989
45,0.235,285.804,320.0,-0.103,0.05,9.937
46,0.424,279.474,320.0,-0.253,0.05,9.695
47,0.397,292.302,320.0,-0.103,0.05,9.213
48,0.208,313.951,320.0,0.047,0.05,9.143
49,0.0,327.222,320.0,0.197,0.05,9.396
50,0.0,318.577,320.0,0.047,0.05,9.775
51,0.332,280.083,320.0,-0.103,0.05,10.044
52,0.522,272.624,320.0,-0.253,0.05,9.821
53,0.502,284.677,320.0,-0.103,0.05,9.328
54,0.284,309.79,320.0,0.047,0.05,9.157
55,0.0,321.704,320.0,0.197,0.05,9.432
56,0.0,313.718,320.0,0.047,0.05,9.854
57,0.276,290.897,320.0,-0.103,0.05,9.834
58,0.391,285.874,320.0,-0.253,0.05,9.675
59,0.317,300.587,320.0,-0.103,0.05,9.104
60,0.0,326.339,320.0,0.047,0.05,8.985
61,0.0,326.339,320.0,0.0,0.05,9.103
62,-0.21,344.659,320.0,0.15,0.05,9.202
63,-0.282,343.98,320.0,0.3,0.05,9.48
64,-0.171,327.134,320.0,0.15,0.05,9.899
65,0.134,295.517,320.0,0.0,0.05,10.271
66,0.451,271.525,320.0,-0.15,0.05,10.076
67,0.584,270.872,320.0,-0.3,0.05,9.84
68,0.5,287.59,320.0,-0.15,0.05,9.221
69,0.21,318.733,320.0,0.0,0.05,9.023
70,0.0,337.483,320.0,0.15,0.05,9.254
71,-0.173,338.18,320.0,0.3,0.05,9.469
72,0.0,319.716,320.0,0.15,0.05,10.025
73,0.231,288.56,320.0,0.0,0.05,10.275
74,0.517,268.891,320.0,-0.15,0.05,10.12
75,0.643,267.238,320.0,-0.3,0.05,9.863
76,0.552,284.43,320.0,-0.15,0.05,9.35
77,0.26,315.221,320.0,0.0,0.05,9.018
78,0.0,335.319,320.0,0.15,0.05,9.154
79,-0.135,335.517,320.0,0.3,0.05,9.567
80,0.0,318.058,320.0,0.15,0.05,9.97
81,0.393,270.006,320.0,0.0,0.05,10.444
82,0.607,249.307,320.0,-0.15,0.05,10.237
83,0.693,247.82,320.0,-0.3,0.05,10.066
84,0.727,262.423,320.0,-0.45,0.05,9.488
85,0.465,298.804,320.0,-0.3,0.05,8.618
86,0.36,298.804,320.0,-0.15,0.05,8.031
87,0.319,298.804,320.0,0.0,0.05,7.99
