frame,deviation_m,lane_center,vehicle_center,steering,throttle,speed_kph
0,0.276,304.747,320.0,-0.15,0.05,0.001
1,0.282,304.32,320.0,-0.028,0.05,0.532
2,0.266,306.474,320.0,0.06,0.05,1.166
3,0.274,306.195,320.0,-0.035,0.05,2.049
4,0.285,305.758,320.0,-0.05,0.05,2.905
5,0.256,308.131,320.0,0.1,0.05,3.595
6,0.217,310.176,320.0,0.128,0.05,4.303
7,0.259,305.736,320.0,-0.022,0.05,4.97
8,0.342,300.413,320.0,-0.172,0.05,5.257
9,0.37,300.848,320.0,-0.163,0.05,5.469
10,0.271,309.123,320.0,-0.013,0.05,5.59
11,0.113,318.594,320.0,0.137,0.05,6.094
12,0.07,317.651,320.0,0.013,0.05,6.443
13,0.127,312.172,320.0,-0.031,0.05,6.731
14,0.133,313.17,320.0,-0.009,0.05,6.808
15,0.073,317.903,320.0,0.04,0.05,7.018
16,0.042,318.677,320.0,0.0,0.05,7.278
17,0.047,317.396,320.0,0.0,0.05,7.465
18,0.036,318.4,320.0,0.0,0.05,7.587
19,0.021,319.29,320.0,0.0,0.05,7.732
20,0.004,320.311,320.0,0.0,0.05,7.87
21,0.02,318.491,320.0,0.0,0.05,8.045
22,0.032,317.981,320.0,0.0,0.05,8.157
23,0.035,318.043,320.0,0.0,0.05,8.245
24,0.043,317.503,320.0,0.0,0.05,8.348
25,0.032,318.58,320.0,0.0,0.05,8.429
26,0.017,319.516,320.0,0.0,0.05,8.517
27,0.02,318.879,320.0,0.0,0.05,8.542
28,0.023,318.679,320.0,0.0,0.05,8.612
29,0.018,319.207,320.0,0.0,0.05,8.696
30,0.004,320.199,320.0,0.0,0.05,8.76
31,0.015,318.855,320.0,0.0,0.05,8.832
32,0.008,319.774,320.0,0.0,0.05,8.884
33,-0.001,320.336,320.0,0.0,0.05,8.943
34,0.011,319.104,320.0,0.0,0.05,8.978
35,0.003,320.089,320.0,0.0,0.05,9.015
36,0.007,319.543,320.0,0.0,0.05,9.074
37,0.005,319.774,320.0,0.0,0.05,9.101
38,-0.005,320.519,320.0,0.0,0.05,9.155
39,-0.006,320.361,320.0,0.0,0.05,9.189
40,-0.018,321.328,320.0,0.0,0.05,9.217
41,-0.02,321.121,320.0,0.0,0.05,9.238
42,-0.017,320.798,320.0,0.0,0.05,9.287
43,-0.007,320.067,320.0,0.0,0.05,9.293
44,-0.013,320.828,320.0,0.0,0.05,9.307
45,-0.027,321.85,320.0,0.0,0.05,9.337
46,-0.021,320.96,320.0,0.0,0.05,9.377
47,-0.022,321.188,320.0,0.0,0.05,9.394
48,-0.022,321.172,320.0,0.0,0.05,9.423
49,-0.034,322.121,320.0,0.0,0.05,9.384
50,-0.038,322.08,320.0,0.0,0.05,9.439
51,-0.037,321.941,320.0,0.0,0.05,9.454
52,-0.034,321.655,320.0,0.0,0.05,9.494
53,-0.041,322.34,320.0,0.0,0.05,9.485
54,-0.055,323.311,320.0,0.0,0.05,9.485
55,-0.051,322.573,320.0,0.0,0.05,9.555
56,-0.052,322.698,320.0,0.0,0.05,9.511
57,-0.05,322.56,320.0,0.0,0.05,9.586
58,-0.064,323.769,320.0,0.0,0.05,9.534
59,-0.061,323.104,320.0,0.0,0.05,9.603
60,-0.061,323.232,320.0,0.0,0.05,9.557
61,-0.064,323.403,320.0,0.0,0.05,9.548
62,-0.066,323.478,320.0,0.0,0.05,9.543
63,-0.078,324.401,320.0,0.0,0.05,9.616
64,-0.078,324.042,320.0,0.0,0.05,9.577
65,-0.078,324.104,320.0,0.0,0.05,9.674
66,-0.092,325.145,320.0,0.0,0.05,9.624
67,-0.103,325.707,320.0,0.003,0.05,9.613
68,-0.092,324.45,320.0,-0.003,0.05,9.638
69,-0.091,324.68,320.0,0.0,0.05,9.655
70,-0.089,324.58,320.0,0.0,0.05,9.667
71,-0.096,325.161,320.0,0.0,0.05,9.643
72,-0.11,326.115,320.0,0.01,0.05,9.67
73,-0.107,325.449,320.0,-0.003,0.05,9.665
74,-0.109,325.779,320.0,0.003,0.05,9.679
75,-0.106,325.449,320.0,-0.003,0.05,9.688
76,-0.119,326.619,320.0,0.015,0.05,9.714
77,-0.108,325.345,320.0,-0.013,0.05,9.714
78,-0.106,325.462,320.0,-0.002,0.05,9.68
79,-0.111,325.946,320.0,0.005,0.05,9.685
80,-0.1,324.896,320.0,-0.011,0.05,9.687
81,-0.12,326.817,320.0,0.022,0.05,9.697
82,-0.113,325.721,320.0,-0.008,0.05,9.715
83,-0.108,325.547,320.0,-0.005,0.05,9.766
84,-0.112,326.011,320.0,0.004,0.05,9.713
85,-0.126,327.076,320.0,0.017,0.05,9.724
86,-0.12,326.15,320.0,-0.008,0.05,9.808
87,-0.111,325.587,320.0,-0.01,0.05,9.797
88,-0.114,326.068,320.0,0.003,0.05,9.734
89,-0.133,327.468,320.0,0.026,0.05,9.708
90,-0.133,326.928,320.0,-0.001,0.05,9.78
91,-0.091,323.563,320.0,-0.039,0.05,9.811
92,-0.09,324.782,320.0,0.0,0.05,9.716
93,-0.128,327.785,320.0,0.032,0.05,9.689
94,-0.139,327.759,320.0,0.018,0.05,9.853
95,-0.111,325.084,320.0,-0.038,0.05,9.88
96,-0.101,325.084,320.0,-0.01,0.05,9.729
97,-0.098,325.084,320.0,-0.001,0.05,9.754
98,-0.097,325.084,320.0,0.0,0.05,9.779
99,-0.096,325.084,320.0,0.0,0.05,9.727
100,-0.096,325.084,320.0,0.0,0.05,9.771
101,-0.096,325.084,320.0,0.0,0.05,9.823
102,-0.096,325.084,320.0,0.0,0.05,9.749
103,-0.096,325.084,320.0,0.0,0.05,9.782
104,-0.034,320.0,320.0,0.0,0.05,9.825
105,0.0,0.0,0.0,0.0,0.05,9.773
106,-0.012,320.0,320.0,0.0,0.05,9.797
107,0.0,0.0,0.0,0.0,0.05,9.745
108,-0.004,320.0,320.0,0.0,0.05,9.827
109,0.0,0.0,0.0,0.0,0.05,9.81
110,-0.001,320.0,320.0,0.0,0.05,9.765
111,0.0,0.0,0.0,0.0,0.05,9.812
112,-0.001,320.0,320.0,0.0,0.05,9.85
113,-0.0,320.0,320.0,0.0,0.05,9.81
114,-0.0,320.0,320.0,0.0,0.05,9.819
115,-0.0,320.0,320.0,0.0,0.05,9.863
116,-0.0,320.0,320.0,0.0,0.05,9.85
117,-0.0,320.0,320.0,0.0,0.05,9.811
118,-0.0,320.0,320.0,0.0,0.05,9.825
119,-0.0,320.0,320.0,0.0,0.05,9.835
120,-0.0,320.0,320.0,0.0,0.05,9.893
121,-0.0,320.0,320.0,0.0,0.05,9.845
122,-0.0,320.0,320.0,0.0,0.05,9.82
123,0.432,253.759,320.0,-0.15,0.05,9.87
124,0.571,255.622,320.0,-0.3,0.05,9.637
125,0.53,268.389,320.0,-0.15,0.05,9.02
126,0.515,268.389,320.0,0.0,0.05,8.992
127,0.348,292.685,320.0,0.15,0.05,9.171
128,0.267,296.57,320.0,0.3,0.05,9.349
129,0.275,290.571,320.0,0.15,0.05,9.769
130,0.358,278.437,320.0,0.0,0.05,10.016
131,0.522,258.767,320.0,-0.15,0.05,9.944
132,0.577,259.373,320.0,-0.3,0.05,10.005
133,0.624,255.344,320.0,-0.45,0.05,10.092
134,0.673,250.397,320.0,-0.56,0.05,10.493
135,0.691,245.246,320.0,-0.41,0.05,10.521
136,0.697,219.224,320.0,-0.26,0.05,10.721
137,0.699,211.222,320.0,-0.11,0.05,10.599
138,0.7,214.294,320.0,-0.04,0.05,10.208
139,0.7,218.077,320.0,-0.034,0.05,10.21
140,0.7,220.621,320.0,-0.032,0.05,10.222
141,0.7,220.975,320.0,-0.031,0.05,10.167
142,0.7,221.618,320.0,-0.031,0.05,10.124
143,0.7,221.793,320.0,-0.031,0.05,10.087
144,0.7,223.562,320.0,-0.031,0.05,10.071
145,0.7,219.353,320.0,-0.031,0.05,10.349
146,0.7,213.646,320.0,-0.031,0.05,10.42
147,0.7,219.554,320.0,-0.031,0.05,10.163
148,0.7,209.676,320.0,-0.031,0.05,10.175
149,0.7,221.319,320.0,-0.031,0.05,10.062
150,0.7,222.814,320.0,-0.031,0.05,10.07
151,0.7,226.087,320.0,-0.031,0.05,10.035
152,0.7,227.78,320.0,-0.031,0.05,9.95
153,0.7,230.901,320.0,-0.031,0.05,9.909
154,0.7,233.816,320.0,-0.031,0.05,9.943
155,0.7,236.276,320.0,-0.031,0.05,10.193
156,0.7,234.162,320.0,-0.031,0.05,10.466
157,0.7,237.34,320.0,-0.031,0.05,10.534
158,0.7,240.016,320.0,-0.031,0.05,10.747
159,0.7,243.129,320.0,-0.031,0.05,11.165
160,0.7,244.525,320.0,-0.031,0.05,11.553
161,0.7,244.41,320.0,-0.031,0.05,11.337
162,0.7,243.817,320.0,-0.031,0.05,11.246
163,0.7,239.593,320.0,-0.031,0.05,11.167
164,0.0,0.0,0.0,0.119,0.05,11.157
165,0.7,208.083,320.0,-0.031,0.05,11.172
166,0.0,0.0,0.0,0.119,0.05,11.35
167,0.7,127.697,320.0,-0.031,0.05,11.645
168,0.0,0.0,0.0,0.119,0.05,11.677
169,0.7,127.697,320.0,-0.031,0.05,12.031
170,0.0,0.0,0.0,0.119,0.05,11.805
171,0.489,298.875,320.0,-0.031,0.05,12.188
172,0.524,289.612,320.0,-0.181,0.05,12.153
173,0.518,290.055,320.0,-0.031,0.05,11.849
174,0.34,305.972,320.0,0.119,0.05,11.839
175,0.18,314.534,320.0,0.269,0.05,12.134
176,0.279,300.902,320.0,0.119,0.05,12.775
177,0.313,300.902,320.0,-0.031,0.05,12.763
178,0.325,300.902,320.0,-0.064,0.05,12.63
179,0.329,300.902,320.0,-0.027,0.05,12.22
180,0.331,300.902,320.0,-0.013,0.05,11.717
181,0.331,300.902,320.0,-0.008,0.05,11.412
182,0.571,231.656,320.0,-0.158,0.05,11.564
183,0.655,223.505,320.0,-0.308,0.05,11.551
184,0.684,213.438,320.0,-0.355,0.05,11.255
185,0.694,231.874,320.0,-0.205,0.05,10.309
186,0.0,0.0,0.0,-0.055,0.05,9.865
187,0.698,231.874,320.0,-0.205,0.05,9.989
188,0.0,0.0,0.0,-0.055,0.05,10.421
189,0.699,231.874,320.0,-0.205,0.05,10.305
